# monster
*animal* | aboleth | air elemental | angel | animated armor | banshee | basilisk | black pudding | blink dog | brain flayer | bugbear | bulette | centaur | chimera | cockatrice | crawling claw | cyclops | darkmantle | death knight | demon | dire wolf | djinn | doppelganger | dragon | dryad | earth elemental | efreet | eye tyrant | fire elemental | gargoyle | gelatinous cube | ghost | ghoul | giant | giant *animal* | giant centipede | giant crab | giant frog | giant scorpion | giant snake | giant spider | giant weasel | gnoll | goblin | golem | gorgon | gray ooze | griffon | hag | harpy | hell hound | hippogriff | hobgoblin | homunculus | hook horror | hydra | imp | intellect devourer | invisible stalker | kobold | kraken | lich | lizardfolk | manticore | merfolk | mimic | minotaur | mummy | myconid | naga | ochre jelly | ogre | orc | owl bear | pegasus | peryton | phase spider | piercer | purple worm | rakshasa | roc | roper | rust monster | satyr | shadow | skeleton | sphinx | stirge | succubus | tarrasque | treant | troll | tyrannosaurus | unicorn | vampire | water elemental | werewolf | wyvern | yeti | zombie
*activity* | *animal* | *mannerism* | banging | barking | bashing | beeping | bellowing | bleating | breathing | buzzing | cackling | cawing | chanting | chewing | chiming | chirping | chittering | choking | chomping | clacking | clanging | clattering | clicking | clinking | cracking | crackling | crawling | creaking | croaking | crunching | dripping | fizzing | flapping | fluttering | galloping | gnashing | gnawing | grating | grinding | groaning | growling | grunting | gulping | gurgling | hissing | hooting | howling | humming | jangling | keening | licking | moaning | muttering | pattering | popping | pounding | puffing | purring | rattling | ripping | roaring | rumbling | rustling | scrabbling | scraping | scratching | screeching | shrieking | shuffling | singing | sizzling | skittering | slapping | slithering | slurping | smacking | snapping | snarling | sniffing | snorting | spitting | splashing | squawking | squeaking | squelching | stomping | swooshing | thudding | thumping | ticking | trotting | wailing | wheezing | whimpering | whining | whipping | whirring | whistling | yelping

# tactic
*effect* | *trap effect* | ambush | annoy | bind | blind | body slam | break armor | break terrain | break weapons | bulldoze | burrow | burst | cannibalize | capture | challenge | chant | charge | cheat | choke | climb | confuse | create barrier | cripple | deafen | deceive | demand worship | disarm | disorient | distract | divide foes | dodge | drop down | encircle | entangle | evade | feint | flank | follow | frighten | gang up | go berserk | goad | grab | harry | ignite | immobilize | leap | link up | lure in | manipulate | merge | mire | monologue | negotiate | obscure | order minion | pincer maneuver | play dead | poison | power up | praise self | protect leader | protect self | pull | push | roll | scatter foes | scream | shake | sicken | slam object | spin | split body | squeeze | stalk | stare down | steal | strategic retreat | stun | summon aid | swallow whole | swarm | sweep | swing creature | swing object | target insolent | target leader | target nearest | target richest | target strongest | target weakest | throw creature | throw object | thrust | toy with | trap | trip | undermine | vomit

# weakness
*animal* | *color* | *domain* | *element* | *food* | *hazard* | *ingredient* | *location* | *magic school* | *material* | *misc. item* | *profession* | *scent* | *sound* | *spell* | *symbol* | *tactic* | *tool* | *travel shift* | *treasure* | *weapon* | acid | alcohol | anti-magic | arms | arrows | birds | blessings | blood | blunt damage | chest | children | church bells | cold | competition | conversation | cutting damage | darkness | dirt | disease | ears | eyes | feet | fingers | fire | firelight | fish | flattery | flowers | garlic | gifts | gold | hands | heart | heat | holy image | holy oil | holy water | ice | insects | insults | iron | legs | lightning | machines | mirrors | mistletoe | moonlight | mouth | music | neck | noise | nose | oil | phylactery | piercing damage | poison | psychic damage | puzzles | rain | relic | riddles | rituals | running water | salt | seawater | silver | singing | skin | soap | spicy food | spine | starlight | sunlight | tears | thunder | true name | water | wolfsbane | wormwood

# activity
*effect* | *goal* | *mission* | *sound* | *tactic* | ambushing | arguing | awarding | beautifying | befouling | begging | besieging | birthing | blessing | brawling | building | burgling | burying | camping | capturing | carving | celebrating | chasing | cleaning | clearing | climbing | collecting | competing | convening | cooking | courting | crafting | cursing | dancing | defacing | defending | delivering | destroying | dousing | dueling | dying | eating | escaping | escorting | excavating | executing | feasting | fighting | fleeing | foraging | fortifying | gambling | guarding | harvesting | hauling | healing | hiding | igniting | infiltrating | initiating | instructing | kidnapping | looting | mapping | marrying | mourning | murdering | pardoning | parleying | patrolling | performing | planning | planting | playing | praying | preaching | processing | questioning | repairing | rescuing | resting | rioting | robbing | sacrificing | scavenging | scouting | searching | selling | singing | sleeping | summoning | surrendering | swindling | tending | threatening | tracking | trading | training | traveling | worshiping

